name,lei,title,cusip,isin,ticker,other_identifier,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind,isCashCollateral,isNonCashCollateral,isLoanByFund
INFINITE BIDCO LLC,549300GLV0VRADA9LI65,INFINITE BIDCO LLC TL,45674KAF2,US45674KAF21,INFELE,LX192661,69869,PA,USD,60218.69,0.013094112956,Long,LON,CORP,US,N,2,2029-03-02,Floating,11.5412616,N,N,N,N,N,N
Worldwide Express/GlobalTranz 11/24 Cov-Lite TLB,N/A,Worldwide Express/GlobalTranz 11/24 Cov-Lite TLB,00435UAF5,,,LX250855,1270498.58,PA,USD,1269901.45,0.276130766539,Long,LON,CORP,US,N,2,2028-07-26,Floating,8.2956096,N,N,N,N,N,N
Invesco Treasury Portfolio,5493004B3TM8ZIDDDC39,INVESCO TREASURY PORTFOLIO INSTITUTIONAL CLASS,825252406,US8252524066,TRPXX,,19824087.39,NS,USD,19824087.39,4.31060256443,Long,STIV,RF,US,N,1,,,,,,,N,N,N
Hertz 6/21 TLB,N/A,Hertz 6/21 TLB,N/A,,,LX195525,209064.33,PA,USD,173262.06,0.037674565565,Long,LON,CORP,US,N,2,2028-06-30,Floating,8.04125879,N,N,N,N,N,N
Oak Hill Credit,N/A,OAKC 2014-10RA SUB,67106KAE7,US67106KAE73,OAKC,,9091692,PA,USD,4193720.22,0.911893737108,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Southern Veterinary 10/24 Cov-Lite TL,N/A,Southern Veterinary 10/24 Cov-Lite TL,84410HAN0,,,LX250177,2230221.19,PA,USD,2231113.28,0.485139236782,Long,LON,CORP,US,N,2,2031-12-04,Floating,7.5273408,N,N,N,N,N,N
Imperial Bag & Paper/Imperial Dade 2/25 TLB,N/A,Imperial Bag & Paper/Imperial Dade 2/25 TLB,05550HAQ8,,,LX259419,3912945.24,PA,USD,3886532.86,0.845098096243,Long,LON,CORP,US,N,2,2030-12-11,Floating,7.5768084,N,N,N,N,N,N
SciQuest/Jaggaer 10/24 TL,N/A,SciQuest/Jaggaer 10/24 TL,N/A,,,LX247915,1563394.13,PA,USD,1569741.51,0.341328790848,Long,LON,CORP,US,N,2,2031-12-05,Floating,7.33268879,N,N,N,N,N,N
Endurance Intl/Endure Digital 12/24 COOP TLB,N/A,Endurance Intl/Endure Digital 12/24 COOP TLB,N/A,,,LX255847,651538.24,PA,USD,462592.15,0.100587273897,Long,LON,CORP,US,N,2,2028-02-10,Floating,7.9218,N,N,N,N,N,N
Trip.com/TripAdvisor 7/24 TLB,N/A,Trip.com/TripAdvisor 7/24 TLB,89677NAE4,,,LX236694,878359.73,PA,USD,875065.88,0.190276664552,Long,LON,CORP,US,N,2,2031-07-08,Floating,7.0768116,N,N,N,N,N,N
Focus Financial Partners 1/25 Add-On Cov-Lite TLB,N/A,Focus Financial Partners 1/25 Add-On Cov-Lite TLB,34416DBD9,,,LX258537,1990311.52,PA,USD,1985594.48,0.431752972483,Long,LON,CORP,US,N,2,2031-09-15,Floating,7.0768116,N,N,N,N,N,N
June Purchaser/Janney Montgomery 9/24 DTL,N/A,June Purchaser/Janney Montgomery 9/24 DTL,48171UAD7,,,LX244814,190179.47,PA,USD,190892.64,0.041508206018,Long,LON,CORP,US,N,2,2031-11-28,Floating,,N,N,N,N,N,N
KKR Financial CLO Ltd,N/A,KKR 2024-60A E,49835NAA5,US49835NAA54,KKR,,1325000,PA,USD,1342067.46,0.291822736699,Long,ABS-CBDO,CORP,KY,Y,2,2038-01-15,Floating,10.3560984,N,N,N,N,N,N
FIRST BRANDS GROUP LLC,N/A,"FIRST BRANDS GROUP, LLC TL",31935HAD9,US31935HAD98,TRICGR,LX193456,250000,PA,USD,235765,0.051265371949,Long,LON,CORP,US,N,2,2027-03-30,Floating,9.5412996,N,N,N,N,N,N
